,document,label,star
34189,대게 공포영화는 원인에 의해 결말이 이해가 되는데 대체 뭘 말하려고 하는지 이해가 안됨마지막에 지옥왕 페이몬은 생뚱맞음ㅠㅠ ,0,4
39398,진짜재미없음 이건뭐스릴도없고 감동도없고 재미도없다 ,0,1
5069,시간도 못자고 조조영화로 보러갔는데 분 오롯이 영화에 빠져있었네요ㅎㅎ 영화가 주는 즐거움이란 이런거죠 ,1,10
20539,스타일리쉬해보이고 싶은 감독의 발악 그러나 능력부족 ,0,4
18995,류준열목소리 존니섹시 ,1,8
31297,난 에미의 눈물의 의미를 알았을 때가 가장 슬펐다 ,1,10
32975,스포일러가 포함된 감상평입니다 감상평 보기와바이올렛 소리ㄷㄷ ,1,10
34064,관람객미국판 곡성 맞네요 중간에 극장이 한번 웃음바다가 되긴했지만 잘만든 공포영화입니다 간만에 공포영화다운 공포영화 본듯 ,1,10
5860,감독님 온갖 짬뽕 개웃겨요 ㅎㅎ그치만 천우희 연기는 사랑해 ,0,2
11223,감히 나 따위가 어찌 평점을 ,1,10
19300,원작을 못 봐서 비교는 할 수 없지만 이 영화는 뭔가 굉장히 편안한 마음으로 볼 수 있어서 좋았던 것 같음 ,1,10
14575,내가 이걸 더블린에서 다시 보게 될줄이야   ,1,9
601,호불호가 심하게 갈리는영화라고 듣고 봤는데 지짜 너무 노잼ㅠㅠ보다 졸았어요 이렇게 졸리고 재미없고 뭘 말하고싶은지 모르는영화 살면서 몇 못봤는데 이걸보고 재밌다하는사람 많네요 너무 신기합니다 그냥 같은,0,1
13880,신파 만만셐ㅋㅋ 박평식 평론보다 빵 터졌넼 ,0,1
17048,한국최초 미슐랭스타를 받은 레스토랑에 기자와 손님이 가득차있다  고급진음식을두고 서로 조용히 격식있는 행동과 음미하며 먹고있는데 갑자기 어떤 한꼬마가 참다못해 때를쓴다  엄마 맛없어  으앙 ,0,1
3320,올해 본 액션영화중 최고네요 환상적입니다 이런게 바로 할리우드 영화죠 꼭 영화관 가서 보세요 무슨 드래곤볼 보는줄알았음 감탄 ,1,10
22711,완전 초집중 했어요무시 당하고 비웃음 당할때도웃고 있는 아서 마음이 얼마나 찢어졌을지공감이 되서 보면서 마음 아팠어요살인이 정당화 될수 없지만지하철 명같은 존재는 없어도 되는 존재라고생각하고 죄책감이 안든다는 아서 말에 공감 했어요입양아라는 사실결국 믿었던 엄마마저모든게 거짓말실낱같은 희망 조차 사라지고아서의 세상이 무너지는좌절을 했지 싶어요조커 주인공님 연기력이 정말 미쳤습니다한번 더 보고싶다 생각드는 영화는 처음이네요명작 ,1,10
266,아 여주 진짜 너무 싫음  ,0,1
34274,관람객잘 모르겠어요그래도 깜짝 놀래키는 그런 거 없어서 좋았다 ,0,4
15318,청소년 관람불가의 선을 넘어서는 영화 ,1,8
3945,대한민국 국민이면 반드시 봐야할 영화 ,1,10
35841,진짜 일본애니메이션은 영화관에서 봐야댐 ,1,10
18934,관람객정말 가볍게 보기 좋은 힐링영화  ,1,10
5775,포드가 페라리 이기는 영화인 줄 알았는데 포드경영진 물먹이는 드라마 그럼에도 내 년 짧은 인생 최고영화 ,1,10
8465,영문판 한국어 다 봤는데 진짜 이순재할아버님이 더빙 하신 부분은 레전드다 진짜 더 감동받음 ,1,10
6742,톰 크루즈만의 익살을 가미한 액션  만약 나 자신이 주인공 입장이라면 이란 설정  전투 씬을 비롯한 영상미 원작을 논하지 말고 영화는 영화로 판단한다면 쩜 만쩜 ,1,10
24623,시대는 알수없지만 특색있게 설정된 시공간 안에서 되게 재미있게 극을 이끈다 갠적으로 미술과  덕분에 몰입도도 좋았고 전개도 풀어줄 땐 풀어주고 조일 때 조이다가 빵터트려 주는 것도 좋았다 늑대소년 때 느꼈지만 감독이 장르물 잘만드는 듯 ,1,8
35180,액션 진짜 최고ㅠㅠ마지막이라는게 슬퍼요ㅠㅠ ,1,10
28844,노래에 중독되버리네요 볼만햇습니다 ,1,9
24426,이종수 너무 섹시해요 이종수같은남자랑 자봤으면 야동 보지말고 이거 보세요 이종수 너무 섹시합니다 ,1,10
4763,말이안나온다진짜보다보면 소름돋는다 ,1,10
23938,이게 년 작인걸 알고 충격먹었지 ,1,10
22367,온 가족이 보면 온 가족이 다 눈물 흘릴 영화다 ,1,10
26163,ㅋㅋㅋ 그저 웃음만 ,0,1
19075,정말 재밌게 봤습니다 김태리 연기 참 잘하네요  영상미도 뛰어나요 개인적으로 제기준 최애영화에 들어갈꺼같네요 ,1,10
21847,어렸을 때 봤는데 성인이되어서도 기억에 오래 남는 영화 ,1,10
30682,멜로 영화  아니 그냥 청춘의 사랑 영화를 보고 이렇게 울어본적은 처음입니다  꼭봐주세요 너무 절절하고 재밌고  많은 생각을 하게되요  고마츠나나 후쿠시소우타 너무 이쁘고 멋잇게 나오고 색감도 너무 좋고 ,1,10
40064,내가 영화를 사랑하는 이유 ,1,8
28043,불편하신 분들은 왜 불편하신건지 ,1,10
40218,티모시 보러갔다가 로넌에게 반하고 온 영화 ,1,10
14664,이런영화 참좋다 아련하고 깊이있는 엔딩 ,1,10
3840,이제부터 시작이라는 생각이 들었고  영화보는 중간 소름이 돋더라 ,1,10
38873,더빙판 본 사람들은 감독과 배급사에게 욕 할수 없다 이미 그 감독과 배급사에게 돈을 쥐어주고 관심을 주어 도움을 주었기 때문이다 ,1,9
6814,너무 뻔해빠졌고 정말 긴장감만 있을뿐 영화 자체에서 흥미도 및 답답함을 유발 ,0,1
16729,똥물이 나오는 변기와 비에젖지않는 텐트의 대기 지하철서 나는 냄새 영화 내내 저런집에서 살고 싶다는 욕망이 관객인 나도 치밀어올라서  너무 비극적이고 불쾌했어요 별두개 뺀것은 그냥 기분이 나빠져서 개취로 뺀거,1,8
9973,이쯤되면 이렇게 살겠지 했지만 그렇지 않았다 여주인공의 무덤덤한 듯 하면서도 날카로운 액션이 멋있다 영화가 기본적인 틀을 깨면서도 독특했다 ,1,8
35568,관람객아주 볼만함 개꿀잼이였다 ,1,10
8443,평점이 너무 낮네요 스토리와 개연성같은 부분들이 부족하지만 보면서 스티븐 스필버그의 대결같은 영화였습니다 영화보는 내내 긴장감이 영화관에서 못봐서 아쉬웠어요 편 나와서 떡밥들을 회수하셨으면 하는 바람이 있네요 ,1,8
17575,평점이 이게 뭔가요  점도 있네 ,1,10
1291,그냥저냥 웃으며 시간보내기 괜찮았지만 완성도는 좀 떨어지는 느낌 ,1,7
37166,한편의 영화이상의 가치를 지닌 영화 영화라고 하기엔 그 영향이 너무나 크다 ,1,10
13485,철중이가 쭉 무자비해지길 바라며 ,1,9
40114,에이미 구해주는 장면에서 왜 눈물이 났는지  강단있으면서도 자신이 자매들 중에 제일 사랑하고 사랑받고 싶어했던 시얼샤 로넌의 연기가 빛을 발한다 그런데 엠마 왓슨이 제일 언니라서 뭔가 집중이 안되기도 했다,1,8
5498,관람객보다 실사를 통한 사실감 연기자 연기력 스토리 간만에 본 멋진 영화임 ,1,10
10743,완젼 재밌다 일본껀 수토리 신선 남주 왜케 잘생김 ,1,10
22069,공효진 연기도 좋도 긴장감도 있고 재밌는데 ,1,10
29114,신선한 아이디어와 영상미 굿굿입니다 ,1,9
