Unnamed: 0,document,star,label
36,"토와코 진지 쿠로사기 미즈시마 다 잘못된 마음을 가졌다. 영화를 보면서 내가 그런마음들을 공유하는 것 자체로 뭔가 섬뜩한 느낌이 들게끔 만든다. 사랑이야기는 아닌 것 같다. 인간의 본성, 욕구, 악함, 마음들이 복잡하게 얽혀 괴기스러운 현재를 만들어 가는 느낌이었다. 내가 토와코의 정신 만큼이나 괴상하다고 느낀건 진지의 행동들이다. ", 7,1
37,중국 격변의 시기를 배우들을 통해 잘보여주고 있어요.3시간의 러닝타임이 전혀 지루하지 않게 느껴질만큼 최고의 영화입니다. , 10,1
38,이런 명작을 지금에서야 보게 되다니 ㅠㅠ진짜 배우들의 연기력과 서정적인 감성과 순수함이 너무나 가슴을 울리는 영화.전도연씨의 순수한 배역이 그녀의 매력을 제대로 보여주고 박해일씨의 따듯한 연기와 고두심씨의 완벽한 어머니 연기가 정말 현실감 있고 우리의 부모님을 다시 생각하게 하는 명작의 영화. , 10,1
39,창동이형 옜날에는 어느정도 재미가 있었는데 . . . 어려워도 . . . 이건 뭐  ..  . , 4,0
40,수준높은  전쟁씬  그리고  판빙빙 오다기리 연기가  후덜 하네요이 와중에  장동건  연기는 옥의 티  ㅜㅜ , 10,1
41,스파이와 어린여자 어머니까지 좌충우돌 스토리 잼나요. , 8,1
42,정말 가슴에 남는 영화가 될 것 같습니다. 최고입니다 , 10,1
43,넷플의 자본력을 이 영화로 증명하려는 건가.... , 1,0
44,믿고 보는 레드벨벳!!! 슬기 목소리는 신이 내린 목소리!!! 레드벨벳 노래는 다 좋다!!!  나는 영화를 보고 영원한 러비를 약속했다 , 10,1
45,5점 받을 영화는 아님 7.5점 줌내가보기에 국내배급사들이 알바풀어서 장난질하는듯 , 10,1
46,잘만들긴했는데 중간중간 요쓰는건 현실성도없고 아무리 gp여도 저런식으로 숨기려고하는 부분도 현실성이없어서 조금아쉽 , 8,1
47,, ,0
48,2000년대 초반 한국영화들이 부흥기를 걷고있을때 한국 영화라면 일단은 그냥 봤었는데 21살의 어린 나이에 영화에대한조예따위도 없고 단지 재밌으면 그만이었는데이 영화를 보고나서 정말 뭐라고 표현을 해야할지 모를정도로 충격이었지. , 10,1
49,아저씨가 너무 귀여워서. 보는내내 즐거웠음 , 10,1
50,액션 스토리 다 좋음.. 근데 전투씬이 너무 많아서 살짝 지겨움? 그리고 도시가 강으로 둘러쌓여있어서 다리로 탈출해야된다는데..중간중간 다리 밑 강 근처에 작은 돗단배들? 작은 배들 보면.. 굳이 다리로만 가야되나? 하는 생각이 듬 ㅋㅋ 고구마 5개먹는듯한 답답함 ㅋ고거 빼곤 볼만했음. , 7,1
51,아... 너무 불친절한 영화네요. 뭘 말하고 싶은 건지 하나도 모르겠어요 , 1,0
52,액션전혀없음. 스토리도 엉망진창. 이거 재밌다는 애들은 아메바짚신벌레 뇌구조인 듯. , 3,0
53,오랜만에 아이들이랑 계속 웃으면서 봤네요~^^실화라 더 재미있고 좋았어요~~어머니의 기도로 드리스가 빛을 발한것같아요~~ , 10,1
54,미나미 진짜 귀여워 미치겠다. 영화 보는 동안 웃음이 끊이질 않는다. , 10,1
55,너무 재미있었다  방탄을 더 알게된 느낌이었다 , 10,1
56,요즘 보면 유투브나 이런 평점 다는데 보면 지들이 진짜 뭐 대단한 평론가라도 된거마냥 쿨한척 냉소적인척 하면서 평론가 놀이 하는 것들 보면 역겹더라. 1년이면 조페국 턴다면서 이거저거 다 가져다 까는데 뇌가 없나? 영화 설정이 원이 개작살나서 값어치가 없으니 사람들이 달러를 쓰는데 조폐국 가서 원 훔쳐서 뭐할건데? 미국가서 강도질 하리? 다른 영화 이거저거 다 가져다 까는데 요즘 나오는 영화에서 그런거에 자유로운 영화가 몇편이나 되는지 좀 알려줘라 ㅋㅋ 그 인기 절정인 마블 시리즈는 완벽한 창작이냐? 뭘 얼마나 영화를 배웠다고 학문적으로 까고 드는지 참. 글도 제대로 못쓰는 부류가 , 10,1
57,이걸 재밌다고하는놈들은 댓글알바냐?ㅋㅡㅋㅋ , 1,0
58,OOO기 영화 억지 눈물 쥐어짜내게 , 1,0
59,미체저럼 되고 싶었지만 쓰리기가 되어버린 중국제 , 1,0
60,이렇게나 애틋한 영화는 없을 듯 , 10,1
61,억지로 배드앤딩 낼려고 한거 개같네 진짜 ㅋ , 1,0
62,"올레TV에서 예고편 나온것만 보고 봤는데 기대 이상이었어요. 연기도 스토리도 좋은데 음향효과가 아쉽네요. 채영이랑 종구는 고딩같은데 선배, 일진무리는 너무 늙은거, 급식대화라지만 욕이 너무 많은것도 거슬림 ", 8,1
63,"싸발 ㅈ노잼이다 진짜....ㅈㄴ잠와서 ㄷ질뻔했네...인간의 본성과 탐욕, 종교, 자본 등에 대한 총체적인 모습을 보여주는 영화인데, 이런 영화가 보통 ㅈ노잼이지 진짜.. ", 1,0
64,우와~~!!! 이런 영화가 한국에서 나오다니 ㅠㅠ 이런 영화는 앞으로 많이 나와야 된다고 생각합니다~ 김학선 배우님도 이런 기회로 미인과 찐한 키스도 하시고 부럽네요 ㅠㅠ.. 마지막에 반전도 있고요~중간에 여고생 가슴만지면서 추행하는 부분이 나오는데 이게 문재라면~  은교찍은 감독은 전자발찌차야겠네요~?? 배우만 성인이면 상관없어요 ~그리고 여학생 좀 너무 4가지없는 캐릭터로 나와서 좀 불쾌하더라구요 ㅠㅠ 그것만 뺴면 100점#짜리 영홥니다~끝나고 쿠키영상 있으니까 바로나가지마세요~!! , 10,1
65,영화를 보며 브라이스가 나와 닮은 점이 많다고 느낄 수 있었다. 감정을 솔직하게 드러내지 않고 정직하지 못했다. 모든 감정에 솔직하고 전체를 볼 줄 아는 줄리처럼 인생을 살아가고 싶다. , 10,1
66,감독님 온갖 짬뽕 개웃겨요 ㅎㅎ그치만 천우희 연기는 사랑해~~ , 2,0
67,너무 좋았어요~~ 어떨땐 저 약이 필요할수도 너무 너무 아플때Kill my self 예방약‘신이 견녀낼수 있는 고통만 준다고 말하지 말아주세요’이 말이 문득 생각났다 , 10,1
68,일단 내 취향은 결코 아님에도 불구하고 영화자체의 분위기가 상당히 괜찮다.. , 8,1
69,, 10,1
70,"역사고증대로 안하고, 중간중간에 자꾸 자기 상상을 집어넣어서 집중이 잘 안됨. 병헌이 연기 빼고는 볼 게 없는 영화. ", 2,0
71,, 10,1
72,결코 가볍게 볼 오락영화가 아니다. , 10,1
73,디테일과 몰입도가 뛰어난 걸작 , 10,1
74,잠깐의 죄책감과 영원한 트라우마. , 8,1
75,아가 배우 정말 너무 잘하는듯. 연기가 아닌 실제 다큐같아 더 맘아픈... 마지막 장면은 가슴이 먹먹해짐과 동시에 여운이 남는 , 10,1
76,반일 감정에 동요되어 이좋은 영화를 못보는 일이 없었으면 좋겠다... , 9,1
77,3편으로 인해 재평가의 여지가생김.. , 7,1
78,정말 대단한 액션영화 탄생이네요..와~~~~토르 정말 최고 멋짐!!  박수를 보냅니다.. , 10,1
79,모든지 그렇게 하다 말아 애매한 서정시의 찬미 , 8,1
80,"빵빵 터지는 스토리, 스트레스 풀립니다 ", 10,1
81,미저리와 할로우맨이 만났을 때 , 9,1
82,본인이 토르 이미지 굳어지는게 싫었는지 의외로 크햄이 이런 스타일의 정통액션을 많이 안했던것 같은데.. 역시나 판깔아주니 날아다니네. 액션 장인. , 8,1
83,, ,0
84,크으...내 유년시절의 나쁜녀석들...다시한번 재회한것 만으로도 감사하다 , 7,1
85,내생각 평점은 7.5 점... 너무 낮아서 평균 높이려고 10점줌... 대형화면으로 사운드 빵빵하게 보니가 볼만함 , 10,1
86,너무 재미있음 아들덕분에 2번봤네요 ㅎㅎ , 10,1
87,내시간 돌려내라 ㅜㅜ 총들고 쫓아가기전에!!!5분준다 , 1,0
88,재미있었습니다 아들이랑 2번봤어요 호 , 10,1
89,긴장감은 좋은데 개연성은 1도없는게 팩트긴함. 연기 좋고 연출도 좋고 긴장감 하나는 최고지만 스토리가 너무 조잡함. 후속작이 나오면 좋겠지만 나올수 있을까..? , 7,1
90,스토리가 약한건 사실인데 연기를 잘해서 몰입감 쩔었음.. 내내 긴장하면서 봄.. 영화에서 빠진 내용들은 2편에서 나올듯 , 8,1
91,애니메이션 모든 영화중 1위라 자부합니다..두번봐도 됩니다...감동이 진짜.. , 10,1
92, 자신과 생사를 같이했던 친구가 아들을 실수로 죽였을때 충격과 후에 딸을 잃었을때 의 먹먹함은 잊을수가 없다 , 10,1
93,평점 테러알바생들아 작작해라 , 10,1
94,pc잡것들은 이렇게 조져줘야 제맛이거든~ , 10,1
95,왜 거의 모든 국내 역사물 영화들은 이런 식 입니까. , 2,0
96,이런게 영화지.. 재미있게 잘 봤습니다.ㅈ , 10,1
97,, 10,1
98,, 10,1
99,난이거 진짜 재밌게 봤었다 ㅎ 회사는 정말 싫어 ~!!  과장님인가 진짜 무서웠었는데 진짜 무서운 사람은 따로 있었지 , 10,1
100,재밌었어요!  다들 죽어서 아쉽지만 ㅜ , 10,1
101,이걸 개봉하려고 했던거야?ㅋㅋ , 1,0
102,천녀유혼에 버금가는 중국 최고 판타지 로맨스 영화. 불로장생의 운명을 가진 강직한 무사와 윤회를 거듭하는 한 여자의 영원불멸한 사랑을 다룬다. 특히 라스트씬의 여운이 두고두고 남는 영화 중 하나. , 10,1
103,, 10,1
104,, 10,1
105,무교인 제가 봐도 좋을만큼 영상미랑 스토리가 좋아요 오랜만에 따뜻한 영화 보았네요 생각하게 만드는 좋은 대사들이 많았어요 , 10,1
106,, 10,1
107,무슨 말이 더 필요한가요 , 10,1
108,갑자기 생각나서 찾아봤는데 다시봐도 슬프다 , 10,1
109,뻔하지만 긴장감 최고!! 근데 왜케  평점 테러야 ㅠㅠ , 10,1
110,"초반 액션은 색다르고 대단해보였는데 후반엔 그냥 평범한 총격전같은게 아쉽. 해매스워드 목소리톤,연기는 대단함. 액션도 예술이고 ", 8,1
111,아니 엔딩에서 둘이 마주쳤으면 당장 차에서 내려 안아버려야지 왜 웃고만있어!! 그래도 다행이다 ㅠㅠ , 8,1
112,앞으로 함부로 ‘기다려’라고 말하면 안 되겠다. , 8,1
113,강호엔 수많은 쿠엔티 타란티노 후예가 있어왔다. 대부분은 거장의 이름에 먹칠하거나 잔가지 흉내쟁이에 불과했으니..이 영화 감독도 후자 같은 수많은 아류중에 하나. 킬빌 흉내내는 부엌 액션 어설픔에 슬픔을 금치 못하였다. 그나마 신박한 소스 재료 플롯 하나만은 인정해준다. , 4,0
114,옥중에서도 예수님 사랑을 실천하고 떠나는 모습에 감동했습니다. , 9,1
115,정말...재미없음 영화 댓글 알바가 진짜로 존재한다는 걸 이 영화를 통해 알았음 재미가 없다는 말조차도 안나온다. 재미라는 단어 자체가 어울리지 않는 영화 그래도 배우분들 연기는 좋았네요... 애기도 귀여웠고... 근데 진짜 재미없다. 공포영화 잘 못봐서 많이 걱정했는데 걱정했던 게 민망할만큼 재미없었다... 내 두 시간 , 1,0
116,세상에서 누구보다 나를 아껴주고 희생한 부모님께  오로지 나밖에 모르는 이기적인 삶을 산 나를 보는것 같아서 숨 쉬기도 힘들다...인간은 때론 용서받지 못할 죄를 짖는다...단지 살아남기 위한 이유로 라는 말이 떠오릅니다 , 10,1
117,로운 첫 더빙연기 잼있게 잘 봤어요 , 10,1
118,액션신 진짜 기가 막히게 잘 뽑았다ㅋㅋㅋ 약간의 병맛도 더해져 재밌음. , 8,1
119,"솔직히 말하면 동화같은 영화입니다. 동물어벤져스 느낌?그러나 배우들 연기들이 하나같이 잘했고, 세세한 연출이 돋보였고, cg가화려해서 영상미가 있었습니다. 영화관가서볼정도는아니고, 아이들이보기좋은영화같아요. 우리나라영화 미스터주보다는 더 판타지가 심하지만, 그만큼 씨지나 영상미 잘만든건 닥터 두리틀 같아요...미스터주가 동물목소리말고 그냥 마음을 어느정도 캐치할 수 있고 테러리스트 등 연출을 더 섬세하게 잘했다면 미스터주가 괜찮겠지만,  연기랑 연출때매 닥터 두리틀이 더 높은평점을주고싶네요.그냥 볼 만함. 아이들있는집이라면 영화관가셔도 보통정도는될듯.. ", 7,1
120,오헌. 믿어라. 너의 초능력을.. 자고 일어나면 모든게 너가 원하는데로 바껴져있을꺼야. 그래왔던것처럼... , 10,1
121,중반부까진 쫄깃하지만 그 이후로는 답답하고 허탈하다가 어이없게됨 , 8,1
122,그냥 좋다. 그냥 다. 처음부터 끝까지 나의 취향을 빗겨난게 없는 영화 , 10,1
123,재밌당 임시완 연기 귿보이 , 8,1
124,볼만해요 보는내내 쫄면서봣네요 긴장감최곱니다 ~! , 8,1
125,"무거운 스파이 물을.. 코미디로 풀어보려고과한 오바가 만든 이상한 코미디가 되버림흠.. 영화만 오지게 미치게 보는 사람으로써, 조금 아쉽다는 생각이 들었음..후반부 신파극에 아.. 아.. 이게 왜 갑자기 이러지? 잘가다가.. 쓸데 없이 싸움중에 감정이입 흐리게 키스하고 할 말다하고 짠!  나멋지지? 총질.. 좀 더 사실스러운, 스릴있게 진행하다가코믹요소가 쏙쏙 한개씩만 들어갔다면..그래도 저는 10점 드려요.참신한 아이디어신박한 스토리공사장씬 진짜 좋았음 (개인적생각)농땡이치면 OO다!  쉣킷~ ㅋㅋ모든 배우들의 연기가 너무 자연스러웠으며,와~ 이런 연출을.. 그저 연기력으로 부셔버리네? 프로다워서 멋있었어요. 리스펙!감독님 후속 작품들 힘내시고 더 고심하시어파이팅있게 멋진 작품 부탁드립니다.영화 잘 봤습니다^^ ", 10,1
126,"새로운 형식, 빛나는 연기, 마초적 긴장감 ", 9,1
127,, 10,1
128,그래도 우리나라 영화니까 10점 준다 근데 스토리를 떠나서 영화라는게 실화인 영화 빼고 모든 영화는 머리속에서 상상력을 극대화 시켜야 기억에남고 스릴이 더해지는 법인데 이영화는 이도저도 아님 코믹스러운 영화인건 알겠지만 남북이 서로 가OO지 죽이고 얼굴만 봐도 죽이려고 한참인데 서로 안죽이는게 신기할뿐 보는내내 서로 언제 죽이지? 이 생각만듬...안죽이니 지겨움이 배로 늘어남 , 10,1
129,성경에서만 상상하던 장면실제 영상으로 만나니예수님 십자가 희생은더 큰 감동으로 전해졌다. , 9,1
130,이것만한 로봇영화없다 , 10,1
131,최근 콜바넴 브로크백마운틴 모리스 봄. 셋다 평점높은 퀴어영화..헤어나올수가없다ㅠ이성과의사랑보다 어쩌면 더 대단한거 같다는..외모나 다른 어떤걸 재지않고 오로지 사랑으로만.. , 10,1
132,, 10,1
133,집으로 돌아가자잘 돌아왔어 , 10,1
134,영화가 왜이렇게 지루하냐.. 나만 그런거냐.. 배우들이 아깝다.. 영화가 너무 진부해!! , 4,0
135,, 10,1
136,평점 왤케 낮지... 진심 분위기 미쳤음 영화보면서 내가 그 속에서 지켜보는 사람 된 기분이었다 역시 박찬욱 , 10,1
137,살면서 아파서 너무 많이 울어서 지겨워서 안울려고 했는데 공감되는 부분이 있어 울었다 속시원해 나에겐 힐링영화 이쁜부부 , 10,1
138,"어릴때 본이후 다시보고 또 보고 하여도 재미있습니다.환타지 장르는 정말 스토리가 잘짜여야하며, 분장, 배경, CG까지 잘만들어야하는데 여태껏 지금까지 나온 환타지 영화중 최고라 생각됩니다.케리베안의해적이 두번째정도 될것같습니다.한편한편 세시간이라는 시간동안 지루함없이 누가보아도 이해하기쉽게, 훌륭한 OST와 몰입할수있어서 환타지영화이지만 최고의 영화라고생각합니다. ", 10,1
139,죽고자 하면 살고 살리고자 하면 개고생이다. , 8,1
140,웬디 로룬 연기 굿! , 10,1
141,러시아판 니키타 ㅋㅋㅋ , 2,0
142,"수십개의 영화를 보는 영화매니아입니다.하지만 평점을 남기지않습니다.왜냐하면 제가 부족하여 그릇된평을할까봐요반지의제왕은 저의 첫 영화관 영화였고,제 마음속 1등 영화입니다.20년이 지났지만 이 만한 영화가 아직없습니다.  물론 여러 감동과 교훈을주고 어마한CG영화들이 있지만 OST, 분장,분위기,배경,시나리오 등 모든 요소가 완벽한 인생최고 환타지영화입니다. ", 10,1
143,"영화 자체도 훌륭하나 듀란듀란.러쉬.ACDC.블랙사바스.레드제플린.딥 퍼플 등등 시대를 풍미한 록 밴드들의 이스터에그 들과 전설의 밴드들을 향한 존경어린 마음을 담은 연출력이 압권인 영화.""Long Live Rock&roll;"" !!! ", 8,1
144,스토리는 정말 초반만 다져놓고 후반은 비참하다배우들의 연기는 좋았다 , 2,0
145,보려고 했는대 ‥ 일단 보류 , 2,0
146,진짜 궁금한게평론가들 평점이 낮은건 돈을 안줘서 인가요...??? , 10,1
147,, 10,1
148,"초등학교때 처음 보았던영화였는데..어느덧 제가 서른이넘었습니다.항상 제마음속에는 1번 영화입니다.훌륭한스토리 짜임새, 의상 분장, 시나리오,OST  명작 걸작 대작 이런영화가 또 있을까요이제와서 평점 남깁니다. 감사합니다. ", 10,1
149,나 진짜 청춘로맨스 특히 대만영화나 드라마 진짜 좋아하는데 이건 진짜 시앙 개 재미없음 친구한테 떼써서 영화관에서 봤는데 보는동안 언젠간 재밌어지겠지? 스토리가 이게 끝이 아니겠지..? 존나 눈치보면서 봄 내 인생 역대 개 노잼 영화; 아 맞다 평타도 안가 미띤;; , 1,0
150,"80년도 대중문화의 아이콘으로 자리잡은 대체불가 캐릭터 E.T! 최고의 영화 그리고 그시절 스티븐 스필버그는 우리에게 말하고 있었다.""꿈꾸고 상상하라 그리고 함께 하라"" 스필버그 감독만이 만들어 낼수있는 전율과 감동을 느낄수있는 SF무비의 마스터 피스. ", 10,1
151,다 좋은데 평점이 지나치게 높고 종교적인 색채가 너무 강해서 감동이 오다가 반감이 들기도 하네요 , 1,0
152,"연출, 영상, 음악, 유니크한 분위기 등 개쩌는데 왜 이렇게 수준 낮은 소리들을 할까. 넷플릭스가 바보 호갱이라서 120억 주고 샀겠니? 걔네들은 영화 안 보고 샀겠니? 니들 머리 위에 있는 사람들이다. 영알못들의 수준 낮은 평가 하고는.. ", 10,1
153,결국 진짜 사랑은 다시 돌고 돌아 오는것...전성기 줄리아 로버츠의 눈부신 미모와 그시절 최고의 미남배우 휴 그랜트를 만나볼수 있는 사랑스러운 영화. , 8,1
154,                      이런 개시1발련아ㅡㅡ , 1,0
155,ㄹㅇ 무조건 보셈... 아니 그냥 보라면 봐 쫌 , 10,1
156,진짜 천재적인 영화 스토리를 뒤죽박죽 섞어놨는데 전혀 지루하지 않고 마지막에 다 짜맞춰지는것을 느꼈을때의 쾌감이란... B급잡지가 아니라 고급잡지를 읽은기분 , 10,1
157,, 10,1
158,아 감독 새끼 죽이고 싶다 ㅡㅡ 표정부터 하나하나 맘에 안들었음... 칼로 맞는거 보고싶었는데 하아... 오줌 싸다 만 느낌 ㅠ , 9,1
159,생각없이보니 재미있는데 친구잘만나야함 , 8,1
160,역사적인 사실을 지루하지 않게 연출해주어 감사합니다. 이제훈과 최희서님 연기 캐미가 너무 좋았다고 생각합니다.같은 20대로서 인권이 존중받는 세상에 태어나 감사하고 동시에 부끄러운 마음도 들었어요 미약하지만 평점남깁니다 최고에요! 근현대사 재미붙이기에도 강추! , 10,1
161,평점조작 개오지네 , 1,0
162,"꽤 재밌게 봄, 다만 중간에 전개가 예상이 가능하고 결말이 조금 아쉬움. 그래도 누구든지 긴장감있게 재밌게 볼만한 영화라 생각됨 ", 8,1
163,, ,0
164,"영화를 그저 오락거리로 보는 사람들은 이해하기 힘들것 이다.어디까지나 연기,스토리,영상미,bgm등으로 등장 인물의 심리묘사와 사람이,상황이,시대가 만들어낸 피해자이자 가해자의 스토리다 정신병자다 싸이코 같다고 이해가 안된다 할수있다. 영화를 보는 방식과 방법은 취향이고 기호니밝은 분위기의 좋은 영화만 보려는 사람이 있는것이고 무겁고 진중한 분위기에서 액션같은게 없는 스릴러 드라마를 보려는 사람이 있는것이다.하지만 장르에 대한 이해를 하고 이 영화가 어떤 장르의 영화인지 인지하고 본다면절대로 무시 할 수 없는 대작이다. ", 10,1
165,"첨엔 별 기대 안했는데 재밌고 감동이고, 영화 다 보고 난 후 베이맥스가 넘 좋아진다 ", 10,1
166,다들 똑같네 어떻게 찍었지? 하는 장면들이 꽤있었는데 존잼 , 10,1
167,솔직히 대만영화 색감은 믿고 보는 거고 송운화는 연기가 더 자연스러워진 듯 송운화 분량 엄청났는데도 하나도 지루하지 않았음 송위룡도 안 어색했고 일단 대사가 진짜 청춘영화 치고도 오글거리는 게 많았는데도 잘 소화했음 .. , 8,1
168,흰옷여자 한명 자꾸 민폐 끼치네ㅋㅋ 총알 날라오는데 피할 생각안하고.. , 9,1
169,"그다지 공감안되는 코미디...아니면 광고, 알바...좋아하는 배우들이 망가져가는 모습을 보는건 정말 힘들죠... ", 2,0
170,"솔직히 이영화의 진짜 주인공은 큰형 알프레드이고, 명장면은 마지막부분 알프레드가 숨어있다가 아버지와 동생을 위해 총을 든 장면이었다. 트리스탄의 매력에 감춰진 큰형 알프레드의 인생 서사. ", 10,1
171,"배경이 인도여서 발리우드인가 싶었는데, 헐리우드네요   액션, 카메라, 모두 기대 이상이었습니다~ ", 10,1
172,진짜 뭐라고 말하기 부끄럽다. 감독의 전작인 파수꾼이 꽤 괜찮았던 영화라는 것은 다들 동의 할 것이다. 근데 9년만에 나오는 작품이라면서 9년동안 도대체 뭐한거지? 속편이 나오는건가? 근데 인터뷰 보면 속편은 안나온대 야 9년동안 도대체 뭐한거야? 나는 9년동안 중학교 고등학교 졸업하고 대학교가서 군대 전역하고 지금 대학교 졸업앞두고 있구만 감독은 도대체 9년동안 무엇을 했기에 이런 졸작영화를 만든거지? 영화 스토리는 배그 고수가 1대 4인 스쿼드 죽이는건데 한명 낙오되어있던놈 먼저 죽이고 나머지 셋 따로 따로 죽이다가 마지막 주인공 못죽이고 다른 스쿼드 만나서 죽을뻔한 위기 넘기는거임 이게 끝이야이해를 할 수가 없다. 스토리는 기억에 하나도 남지 않을 뿐 더러 억지로 억지로 기억을 더듬어보면 담배피는 장면만 기억에 남음. 이 영화를 넷플릭스가 산다고 하고 이 영화를 본 넷플릭스 관계자들 담배 오질라게 폈을거 같다. 넷플릭스가 고소해도 할말이 없는 졸작. 영상미는 좋았음 근데 영상미가 좋으면 뭐하냐고 영화는 미술작품이 아니야여튼 이거 절대 보지마세요 진짜 제 기준에서는 엄복동급 쓰레기 영화입니다. 아무튼 이거 괜찮을까 하고 보는 사람이 있다면 저는 적극적으로 말리겠습니다. , 1,0
173,긴장감 지수는 낮지만 코로나 예언 어쩌고해서 봤는데 꽤 흥미로워서 집중력이 떨어지진 않았어요현실적이기도 해서 새로웠고 현실적으로 겪고있는 상황을 영화로 보는거다보니깐더 몰입감이 있었던거 같아요 , 8,1
174,"최고의 영화네요안면기형장애를 갖고 있는 조카가 있어서 얼마나 공감이 됐는지요ㅠ펑펑울었습니다너무나도 따뜻한영화입니다저희 아이도 잭윌같은 아이로  키우고싶단 생각이 듭니다~ 비아랑 미란다도 너무 좋고..엄마,아빠,교장선생님 모두모두 멋져요♡모두다 ", 10,1
175,저는 기대없이 봤지만 긴장감있고 좋았습니다 , 9,1
176,이게 재밌다는 사람들은 좋겠다... 뭘봐도 재밌겠네... 앞부분에 도박장털때까지만 볼만하다 ㅉㅉ , 1,0
177,레드벨벳 노래가ㅜ나오니 더 친숙하고 좋았어요!재밌고 ost도 너무 좋음 , 10,1
178,진짜 똑똑한 감독. 어디까지 가벼워야하는지 무거워야하는지 정확히 알고 위트있게 사회를 비판하고있다. 단 한 대사라도 뼈가있는 말들 , 10,1
